x,y,commodity,type
76.44410117714312,14.149715412111835,Copper,Mineralization
77.58692361501751,15.288869801610494,Diamond,Mineralization
77.59775723477384,15.29493544270779,Diamond,Mineralization
77.5918554027516,15.280024474492137,Diamond,Mineralization
77.59679101415117,15.280569645238767,Diamond,Mineralization
77.60124679172971,15.280269112069183,Diamond,Mineralization
77.60169834678109,15.27563177337815,Diamond,Mineralization
77.60107572332075,15.269959074783833,Diamond,Mineralization
77.60858366962617,15.262311813794197,Diamond,Mineralization
77.60920506112366,15.25727484051091,Diamond,Mineralization
77.52431533729431,14.25855351621412,Gold,Mineralization
76.4452034702039,14.066249477300532,Gold,Mineralization
77.50992962714523,14.31011802436637,Gold,Mineralization
77.50992962714523,14.31011802436637,Gold,Mineralization
77.52444817434045,14.261203010455219,Gold,Mineralization
76.43737489541958,14.141783085967427,Lead,Mineralization
76.43737489541958,14.141783085967427,Lead,Mineralization
76.2385685013501,14.220737678849027,Banded magnetite quartzite,Quarry
76.20211870058101,14.143979283913358,Banded magnetite quartzite,Quarry
76.2029265779777,14.145454280282369,Banded magnetite quartzite,Quarry
76.22529458688544,14.116412395104806,Banded magnetite quartzite,Quarry
76.23727533205226,14.100497905568968,Banded magnetite quartzite,Quarry
76.23946265494314,14.099999698882772,Banded magnetite quartzite,Quarry
76.24146940899595,14.098148371551442,Banded magnetite quartzite,Quarry
76.19936478280458,14.145436442447775,Banded magnetite quartzite,Quarry
76.20867036615826,14.138295615030291,Banded magnetite quartzite,Quarry
76.24544634586778,14.189036893416958,Banded magnetite quartzite,Quarry
76.26122549593568,14.171338745021187,Banded magnetite quartzite,Quarry
76.25838177429789,14.174971047725217,Banded magnetite quartzite,Quarry
76.25250195518956,14.179964148090262,Banded magnetite quartzite,Quarry
76.2164876937416,14.208940271275573,Banded magnetite quartzite,Quarry
76.213445941173,14.208327476936724,Banded magnetite quartzite,Quarry
76.211733555828,14.207335263740614,Banded magnetite quartzite,Quarry
76.18711530159949,14.168746015635355,Banded magnetite quartzite,Quarry
76.18882996366666,14.165837806914285,Banded magnetite quartzite,Quarry
76.19033742442633,14.163690044793624,Banded magnetite quartzite,Quarry
76.23703639064588,14.224532256259753,Banded magnetite quartzite,Quarry
76.23918817046531,14.22328019895257,Banded magnetite quartzite,Quarry
76.22932491899168,14.212681698812466,Banded magnetite quartzite,Quarry
76.2301295147746,14.209787925348436,Banded magnetite quartzite,Quarry
76.20128266409847,14.234361138136393,Banded magnetite quartzite,Quarry
76.24463575171465,14.09795972093429,Banded magnetite quartzite,Quarry
76.2358379159477,14.102184217094628,Banded magnetite quartzite,Quarry
76.23705165758477,14.105149211800054,Banded magnetite quartzite,Quarry
76.2370404208111,14.104017881592915,Banded magnetite quartzite,Quarry
76.21110731130628,14.133994811001385,Banded magnetite quartzite,Quarry
76.21524860952067,14.129798222290212,Banded magnetite quartzite,Quarry
76.22051598547526,14.124597435553548,Banded magnetite quartzite,Quarry
76.1928006535692,14.161356796186832,Banded magnetite quartzite,Quarry
76.20548921054692,14.246393779350788,Banded magnetite quartzite,Quarry
76.2014591530641,14.241166753899694,Banded magnetite quartzite,Quarry
76.1848724659486,14.170412704861496,Banded magnetite quartzite,Quarry
76.23275309586221,14.107775824016334,Banded magnetite quartzite,Quarry
76.28939440661667,14.135414863615706,Banded magnetite quartzite,Quarry
76.28939440661667,14.135414863615706,Banded magnetite quartzite,Quarry
76.2912633261298,14.132266070057053,Banded magnetite quartzite,Quarry
76.20844191894376,14.1272741594133,Banded magnetite quartzite,Quarry
